height_cm,weight_kg,body fat_%,sit-ups counts,broad jump_cm
173.8,87.0,24.1,50.0,189.0
160.7,45.8,23.4,35.0,143.0
149.9,61.6,40.7,8.0,148.0
179.6,81.1,15.9,46.0,216.0
168.6,69.64,21.9,59.0,242.0
156.8,51.9,28.4,34.0,128.0
163.3,55.0,25.6,25.0,126.0
167.0,74.0,23.8,62.0,211.0
175.5,74.5,20.7,52.0,225.0
154.2,52.98,23.6,37.0,153.0
172.5,68.4,17.6,56.0,220.0
171.5,85.1,30.2,52.0,192.0
175.0,72.6,22.0,58.0,226.0
168.6,70.8,25.7,47.0,133.0
185.3,93.4,26.2,64.0,202.0
172.5,74.1,20.4,33.0,195.0
160.8,45.5,15.0,35.0,152.0
162.7,63.9,36.7,30.0,169.0
166.9,73.6,26.6,53.0,202.0
181.1,75.4,9.8,63.0,234.0
155.0,57.7,31.5,35.0,149.0
170.5,75.8,27.4,32.0,177.0
175.2,72.2,11.0,55.0,270.0
158.5,57.1,28.9,21.0,139.0
161.1,53.0,28.4,22.0,143.0
184.5,70.5,16.4,37.0,181.0
151.2,63.7,45.1,0.0,89.0
164.3,58.2,26.9,36.0,167.0
186.2,78.0,10.7,54.0,235.0
173.2,84.1,32.0,22.0,197.0
173.7,60.4,16.4,41.0,196.0
168.0,68.0,24.1,57.0,233.0
164.2,56.2,23.7,38.0,160.0
171.9,76.8,19.3,35.0,205.0
172.2,71.9,25.5,47.0,207.0
187.9,95.4,12.4,47.0,227.0
179.3,84.3,19.3,52.0,211.0
170.5,75.1,20.1,63.0,206.0
174.8,71.2,28.3,42.0,190.0
169.7,75.2,23.0,53.0,227.0
160.6,58.8,24.4,37.0,161.0
172.7,73.9,19.0,58.0,202.0
164.4,58.8,22.0,29.0,145.0
161.4,62.5,27.5,46.0,194.0
167.0,57.3,21.2,31.0,145.0
165.3,67.7,18.9,36.0,162.0
160.0,51.5,21.2,34.0,161.0
174.1,87.2,20.6,46.0,234.0
163.0,53.6,30.5,42.0,219.0
178.7,83.6,16.8,54.0,246.0
160.7,74.3,32.1,21.0,132.0
159.4,69.2,35.9,31.0,168.0
177.9,78.3,12.3,57.0,217.0
157.4,50.4,19.6,41.0,166.0
173.8,81.5,33.0,38.0,196.0
175.0,79.8,19.2,52.0,197.0
168.9,69.9,23.2,33.0,225.0
168.1,72.3,28.2,28.0,202.0
164.0,58.9,11.2,51.0,178.0
172.1,59.9,15.4,19.0,150.0
175.5,94.0,38.4,42.0,189.0
162.9,55.2,31.4,25.0,135.0
162.0,51.5,21.6,26.0,175.0
169.2,53.1,22.3,40.0,162.0
178.9,90.4,31.4,37.0,176.0
167.5,65.3,16.3,46.0,235.0
171.4,57.4,13.6,46.0,189.0
166.6,55.9,24.5,30.0,160.0
161.0,53.9,30.7,30.0,158.0
175.1,71.0,15.8,49.0,227.0
178.3,74.2,5.5,60.0,234.0
159.9,59.8,23.5,46.0,188.0
162.2,65.3,18.3,57.0,221.0
176.1,75.1,22.6,50.0,220.0
161.5,49.4,22.4,37.0,157.0
166.8,70.7,19.3,54.0,202.0
172.3,74.0,27.3,34.0,186.0
154.2,37.3,23.0,17.0,134.0
179.7,80.2,18.8,62.0,240.0
171.3,80.4,21.3,53.0,224.0
157.0,47.6,17.1,66.0,204.0
172.5,66.8,15.5,51.0,182.0
177.4,73.62,12.2,64.0,271.0
156.7,59.5,38.1,22.0,134.0
159.6,52.2,28.9,39.0,157.0
173.0,71.0,11.0,50.0,254.0
158.9,52.4,27.4,49.0,175.0
161.7,49.6,22.3,33.0,142.0
167.7,77.3,27.8,57.0,226.0
174.0,80.2,16.3,61.0,237.0
170.2,70.4,20.4,41.0,224.0
174.1,68.2,18.2,52.0,232.0
154.0,51.8,31.3,53.0,171.0
180.6,86.5,22.9,41.0,227.0
171.2,51.7,16.5,39.0,178.0
166.8,63.0,25.7,45.0,188.0
174.9,76.3,23.2,31.0,211.0
